timestampIso,label,host,platform,arch,nodeVersion,gitBranch,gitCommit,gitDirty,runtime,mode,repeatIndex,policies,trials,wallMs,policiesPerMinute,meanMsPerPolicy,p95MsPerPolicy,enumerationMs,seedPrepMs,tapeGenerationMs,requestBuildMs,nativeRequestSerializeMs,nativeResponseWaitMs,nativeResponseParseMs,rankingMs,outputMs,replayTapeHitRate,compactTapeHitRate,requestBytesAverage,requestTapeBytesTotal,requestTapeBytesSavedTotal,rssDeltaBytes,heapUsedDeltaBytes,bestPolicyId,reportPath
2026-05-08T13:25:39.797Z,local-smoke-20x500,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,20,500,98.443,12189.821,4.514,23.063,0.666,1.256,15.027,0.021,6.077,66.590,0.166,0.475,0.209,0.9500,0.9500,87473.3,1536956,29202164,25280512,8504936,pol_407bf064,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-25-39-761Z-rust-native-compact-parametric-r1.json
2026-05-08T13:25:53.599Z,Mac-Mini-Upstairs-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,167949.718,1786.249,33.588,45.741,3.691,369.883,108.035,0.588,213.032,166840.857,81.786,2.437,1.406,0.9998,0.9998,13699.7,15365457,76811919543,197394432,136112672,pol_eb342482,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-25-53-562Z-rust-native-compact-parametric-r1.json
2026-05-08T13:38:00.632Z,Mac-Mini-Upstairs-profile-2000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,2000,5000,69876.553,1717.314,34.934,47.551,2.208,183.153,109.690,0.388,102.726,69339.447,48.265,2.246,2.022,0.9995,0.9995,18309.3,15365457,30715548543,133234688,1055520,pol_1bca4ffd,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-38-00-594Z-rust-native-compact-parametric-r1.json
2026-05-08T13:46:33.053Z,pgo-training-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,108755.907,551.694,108.709,122.504,1.590,87.659,110.602,0.189,63.698,108360.265,38.658,1.263,0.531,0.9990,0.9990,25992.1,15365457,15350091543,133169152,69461224,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-46-33-017Z-rust-native-compact-parametric-r1.json
2026-05-08T13:50:53.333Z,pgo-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,347124.858,864.242,69.416,78.454,4.097,470.694,121.753,0.895,244.068,345912.381,130.805,3.025,1.811,0.9998,0.9998,13699.7,15365457,76811919543,-15138816,72722512,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-50-53-292Z-rust-native-compact-parametric-r1.json
2026-05-08T13:56:54.855Z,restored-release-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,87681.150,684.298,87.643,100.357,2.338,94.690,122.592,0.314,84.246,87265.070,24.475,1.445,0.657,0.9990,0.9990,25992.1,15365457,15350091543,130121728,69792592,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-56-54-811Z-rust-native-compact-parametric-r1.json
2026-05-08T13:59:07.090Z,restored-clean-release-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,86573.643,693.052,86.412,97.613,1.751,90.430,123.664,0.228,80.591,86044.758,23.885,1.259,0.583,0.9990,0.9990,25992.1,15365457,15350091543,128696320,69410064,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T13-59-07-046Z-rust-native-compact-parametric-r1.json
2026-05-08T14:03:02.730Z,hotpath-audit-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,38529.387,1557.253,38.494,50.614,1.667,99.539,123.985,0.346,80.097,38106.366,26.790,1.161,0.536,0.9990,0.9990,25992.1,15365457,15350091543,130777088,70820624,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T14-03-02-687Z-rust-native-compact-parametric-r1.json
2026-05-08T14:04:26.497Z,hotpath-audit-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,180611.687,1661.022,36.120,47.215,4.595,398.502,118.973,0.801,219.222,179580.844,108.792,2.525,1.313,0.9998,0.9998,13699.7,15365457,76811919543,130777088,74415288,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T14-04-26-455Z-rust-native-compact-parametric-r1.json
2026-05-08T15:49:47.145Z,quiet-baseline-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,176122.116,1703.364,35.215,46.409,3.835,345.921,105.006,0.546,180.289,175231.888,84.312,2.852,1.423,0.9998,0.9998,13699.7,15365457,76811919543,132644864,72578360,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T15-49-47-110Z-rust-native-compact-parametric-r1.json
2026-05-08T15:54:51.417Z,quiet-baseline-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,173831.291,1725.811,34.764,45.859,3.612,238.514,104.062,0.306,167.695,173236.180,26.523,3.009,1.471,0.9998,0.9998,13699.7,15365457,76811919543,130154496,72483064,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T15-54-51-369Z-rust-native-compact-parametric-r1.json
2026-05-08T15:59:51.682Z,quiet-baseline-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,172649.333,1737.626,34.528,45.586,3.581,227.610,99.406,0.291,148.991,172095.282,25.661,2.963,1.411,0.9998,0.9998,13699.7,15365457,76811919543,131563520,72271208,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T15-59-51-646Z-rust-native-compact-parametric-r1.json
2026-05-08T16:04:57.601Z,quiet-baseline-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,33989.193,1765.267,33.985,44.484,1.207,44.871,96.068,0.095,51.880,33776.270,5.236,1.877,0.638,0.9990,0.9990,25992.1,15365457,15350091543,129236992,69800736,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T16-04-57-571Z-rust-native-compact-parametric-r1.json
2026-05-08T16:07:46.064Z,quiet-baseline-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,35279.760,1700.692,35.273,46.374,1.580,72.954,107.996,0.205,63.808,34974.891,17.985,1.224,0.532,0.9990,0.9990,25992.1,15365457,15350091543,129941504,70784928,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T16-07-46-007Z-rust-native-compact-parametric-r1.json
2026-05-08T16:10:30.532Z,quiet-baseline-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,35605.244,1685.145,35.599,46.760,1.588,76.697,109.791,0.187,52.914,35305.069,19.037,1.076,0.559,0.9990,0.9990,25992.1,15365457,15350091543,132825088,73634760,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T16-10-30-488Z-rust-native-compact-parametric-r1.json
2026-05-08T17:38:28.400Z,tax-skip-final-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,33176.760,1808.495,33.136,44.289,1.624,75.985,109.839,0.224,65.653,32830.011,18.234,1.594,0.555,0.9990,0.9990,25992.1,15365457,15350091543,131137536,69654848,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-38-28-363Z-rust-native-compact-parametric-r1.json
2026-05-08T17:39:09.262Z,tax-skip-final-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,169005.210,1775.093,33.798,44.978,4.748,421.711,120.647,0.764,231.269,167917.730,112.023,2.757,1.486,0.9998,0.9998,13699.7,15365457,76811919543,132317184,73411216,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-39-09-218Z-rust-native-compact-parametric-r1.json
2026-05-08T17:48:24.934Z,tax-invariants-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,34039.905,1762.637,34.002,44.970,1.494,90.364,126.030,0.277,72.469,33644.465,23.148,1.134,0.516,0.9990,0.9990,25992.1,15365457,15350091543,129990656,70645984,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-48-24-890Z-rust-native-compact-parametric-r1.json
2026-05-08T17:49:07.296Z,tax-invariants-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,168384.991,1781.631,33.674,44.865,4.959,421.012,118.761,0.781,226.525,167306.926,114.889,2.500,1.675,0.9998,0.9998,13699.7,15365457,76811919543,132448256,87765040,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-49-07-252Z-rust-native-compact-parametric-r1.json
2026-05-08T17:53:07.516Z,tax-bracket-simplify-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,33487.263,1791.726,33.453,44.499,1.485,81.446,123.178,0.235,69.894,33115.547,21.552,1.145,0.761,0.9990,0.9990,25992.1,15365457,15350091543,131268608,69523416,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-53-07-470Z-rust-native-compact-parametric-r1.json
2026-05-08T17:53:50.137Z,tax-bracket-simplify-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,168598.200,1779.378,33.717,44.827,3.928,434.571,120.116,0.652,225.054,167503.126,115.070,3.197,1.586,0.9998,0.9998,13699.7,15365457,76811919543,15843328,84774952,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T17-53-50-094Z-rust-native-compact-parametric-r1.json
2026-05-08T18:00:00.143Z,compact-year-data-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,34013.046,1764.029,33.975,44.878,1.828,85.253,120.363,0.234,57.167,33647.728,22.071,1.257,0.530,0.9990,0.9990,25992.1,15365457,15350091543,132366336,69547168,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-00-00-100Z-rust-native-compact-parametric-r1.json
2026-05-08T18:00:39.371Z,compact-year-data-5000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5000,5000,169656.742,1768.276,33.929,45.087,4.053,420.657,123.891,0.759,206.801,168597.022,114.559,2.434,1.410,0.9998,0.9998,13699.7,15365457,76811919543,134725632,74405040,pol_9c5a4118,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-00-39-327Z-rust-native-compact-parametric-r1.json
2026-05-08T18:18:50.544Z,proof-ladder-smoke,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,5,200,78.165,3838.043,8.331,16.899,0.737,0.520,9.558,0.019,1.438,28.985,0.159,0.058,0.378,0.8000,0.8000,133696.8,615056,2460224,12304384,8880352,pol_1efcef37,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-18-50-500Z-rust-native-compact-parametric-r1.json
2026-05-08T18:26:27.094Z,proof-probe-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,134303.300,446.750,134.267,174.621,1.705,89.943,139.093,1.010,75.632,133871.040,29.872,1.145,0.778,0.9990,0.9990,26054.1,15365457,15350091543,130859008,69133504,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-26-27-053Z-rust-native-compact-parametric-r1.json
2026-05-08T18:39:22.206Z,roth-candidate-stack-buffer-1000x5000,Mac-Mini-Upstairs.local,darwin,arm64,v23.11.0,codex/spending-autopilot,26e7489,true,rust-native-compact,parametric,1,1000,5000,31916.026,1879.933,31.879,43.204,2.081,89.086,119.092,0.528,59.581,31540.427,23.621,1.419,0.645,0.9990,0.9990,25992.1,15365457,15350091543,131842048,84680176,pol_3fe10f21,/Users/robbonner/Retirenment Calculator/out/cpu-baseline/2026-05-08T18-39-22-164Z-rust-native-compact-parametric-r1.json
